date,value,value_prev,yoy
2018-01-01,0.0403,,
2018-02-01,0.0433,,
2018-03-01,0.0444,,
2018-04-01,0.0447,,
2018-05-01,0.0459,,
2018-06-01,0.0457,,
2018-07-01,0.0453,,
2018-08-01,0.0455,,
2018-09-01,0.0463,,
2018-10-01,0.0483,,
2018-11-01,0.0487,,
2018-12-01,0.0464,,
2019-01-01,0.0446,0.0403,0.10669975186104219
2019-02-01,0.0437,0.0433,0.009237875288683695
2019-03-01,0.0426,0.0444,-0.04054054054054057
2019-04-01,0.0414,0.0447,-0.07382550335570459
2019-05-01,0.0407,0.0459,-0.11328976034858396
2019-06-01,0.038,0.0457,-0.16849015317286653
2019-07-01,0.0377,0.0453,-0.16777041942604864
2019-08-01,0.0362,0.0455,-0.20439560439560434
2019-09-01,0.0361,0.0463,-0.22030237580993517
2019-10-01,0.0369,0.0483,-0.2360248447204969
2019-11-01,0.0369,0.0487,-0.2422997946611909
2019-12-01,0.0372,0.0464,-0.19827586206896552
2020-01-01,0.0362,0.0446,-0.18834080717488788
2020-02-01,0.0346,0.0437,-0.208237986270023
2020-03-01,0.0345,0.0426,-0.1901408450704224
2020-04-01,0.0331,0.0414,-0.20048309178743962
2020-05-01,0.0323,0.0407,-0.20638820638820632
2020-06-01,0.0316,0.038,-0.1684210526315788
2020-07-01,0.0302,0.0377,-0.19893899204244025
2020-08-01,0.0294,0.0362,-0.1878453038674034
2020-09-01,0.0289,0.0361,-0.19944598337950148
2020-10-01,0.0283,0.0369,-0.23306233062330628
2020-11-01,0.0276,0.0369,-0.2520325203252033
2020-12-01,0.0268,0.0372,-0.27956989247311814
2021-01-01,0.0274,0.0362,-0.24309392265193375
2021-02-01,0.0281,0.0346,-0.1878612716763005
2021-03-01,0.0308,0.0345,-0.10724637681159421
2021-04-01,0.0306,0.0331,-0.07552870090634434
2021-05-01,0.0296,0.0323,-0.08359133126934992
2021-06-01,0.0298,0.0316,-0.05696202531645578
2021-07-01,0.0287,0.0302,-0.04966887417218546
2021-08-01,0.0284,0.0294,-0.0340136054421768
2021-09-01,0.029,0.0289,0.0034602076124568004
2021-10-01,0.0307,0.0283,0.08480565371024751
2021-11-01,0.0307,0.0276,0.1123188405797102
2021-12-01,0.031,0.0268,0.15671641791044766
2022-01-01,0.0344,0.0274,0.25547445255474455
2022-02-01,0.0376,0.0281,0.33807829181494675
2022-03-01,0.0417,0.0308,0.35389610389610393
2022-04-01,0.0498,0.0306,0.6274509803921569
2022-05-01,0.0523,0.0296,0.7668918918918919
2022-06-01,0.0552,0.0298,0.8523489932885906
2022-07-01,0.054,0.0287,0.8815331010452963
